Date,Year,Quarter,Month,MonthName,Day,DayOfWeek,IsWeekend,WeekOfYear
2018-01-01,2018,Q1,1,January,1,Monday,False,1
2018-01-02,2018,Q1,1,January,2,Tuesday,False,1
2018-01-03,2018,Q1,1,January,3,Wednesday,False,1
2018-01-04,2018,Q1,1,January,4,Thursday,False,1
2018-01-05,2018,Q1,1,January,5,Friday,False,1
2018-01-06,2018,Q1,1,January,6,Saturday,True,1
2018-01-07,2018,Q1,1,January,7,Sunday,True,1
2018-01-08,2018,Q1,1,January,8,Monday,False,2
2018-01-09,2018,Q1,1,January,9,Tuesday,False,2
2018-01-10,2018,Q1,1,January,10,Wednesday,False,2
2018-01-11,2018,Q1,1,January,11,Thursday,False,2
2018-01-12,2018,Q1,1,January,12,Friday,False,2
2018-01-13,2018,Q1,1,January,13,Saturday,True,2
2018-01-14,2018,Q1,1,January,14,Sunday,True,2
2018-01-15,2018,Q1,1,January,15,Monday,False,3
2018-01-16,2018,Q1,1,January,16,Tuesday,False,3
2018-01-17,2018,Q1,1,January,17,Wednesday,False,3
2018-01-18,2018,Q1,1,January,18,Thursday,False,3
2018-01-19,2018,Q1,1,January,19,Friday,False,3
2018-01-20,2018,Q1,1,January,20,Saturday,True,3
2018-01-21,2018,Q1,1,January,21,Sunday,True,3
2018-01-22,2018,Q1,1,January,22,Monday,False,4
2018-01-23,2018,Q1,1,January,23,Tuesday,False,4
2018-01-24,2018,Q1,1,January,24,Wednesday,False,4
2018-01-25,2018,Q1,1,January,25,Thursday,False,4
2018-01-26,2018,Q1,1,January,26,Friday,False,4
2018-01-27,2018,Q1,1,January,27,Saturday,True,4
2018-01-28,2018,Q1,1,January,28,Sunday,True,4
2018-01-29,2018,Q1,1,January,29,Monday,False,5
2018-01-30,2018,Q1,1,January,30,Tuesday,False,5
2018-01-31,2018,Q1,1,January,31,Wednesday,False,5
2018-02-01,2018,Q1,2,February,1,Thursday,False,5
2018-02-02,2018,Q1,2,February,2,Friday,False,5
2018-02-03,2018,Q1,2,February,3,Saturday,True,5
2018-02-04,2018,Q1,2,February,4,Sunday,True,5
2018-02-05,2018,Q1,2,February,5,Monday,False,6
2018-02-06,2018,Q1,2,February,6,Tuesday,False,6
2018-02-07,2018,Q1,2,February,7,Wednesday,False,6
2018-02-08,2018,Q1,2,February,8,Thursday,False,6
2018-02-09,2018,Q1,2,February,9,Friday,False,6
2018-02-10,2018,Q1,2,February,10,Saturday,True,6
2018-02-11,2018,Q1,2,February,11,Sunday,True,6
2018-02-12,2018,Q1,2,February,12,Monday,False,7
2018-02-13,2018,Q1,2,February,13,Tuesday,False,7
2018-02-14,2018,Q1,2,February,14,Wednesday,False,7
2018-02-15,2018,Q1,2,February,15,Thursday,False,7
2018-02-16,2018,Q1,2,February,16,Friday,False,7
2018-02-17,2018,Q1,2,February,17,Saturday,True,7
2018-02-18,2018,Q1,2,February,18,Sunday,True,7
2018-02-19,2018,Q1,2,February,19,Monday,False,8
2018-02-20,2018,Q1,2,February,20,Tuesday,False,8
2018-02-21,2018,Q1,2,February,21,Wednesday,False,8
2018-02-22,2018,Q1,2,February,22,Thursday,False,8
2018-02-23,2018,Q1,2,February,23,Friday,False,8
2018-02-24,2018,Q1,2,February,24,Saturday,True,8
2018-02-25,2018,Q1,2,February,25,Sunday,True,8
2018-02-26,2018,Q1,2,February,26,Monday,False,9
2018-02-27,2018,Q1,2,February,27,Tuesday,False,9
2018-02-28,2018,Q1,2,February,28,Wednesday,False,9
2018-03-01,2018,Q1,3,March,1,Thursday,False,9
2018-03-02,2018,Q1,3,March,2,Friday,False,9
2018-03-03,2018,Q1,3,March,3,Saturday,True,9
2018-03-04,2018,Q1,3,March,4,Sunday,True,9
2018-03-05,2018,Q1,3,March,5,Monday,False,10
2018-03-06,2018,Q1,3,March,6,Tuesday,False,10
2018-03-07,2018,Q1,3,March,7,Wednesday,False,10
2018-03-08,2018,Q1,3,March,8,Thursday,False,10
2018-03-09,2018,Q1,3,March,9,Friday,False,10
2018-03-10,2018,Q1,3,March,10,Saturday,True,10
2018-03-11,2018,Q1,3,March,11,Sunday,True,10
2018-03-12,2018,Q1,3,March,12,Monday,False,11
2018-03-13,2018,Q1,3,March,13,Tuesday,False,11
2018-03-14,2018,Q1,3,March,14,Wednesday,False,11
2018-03-15,2018,Q1,3,March,15,Thursday,False,11
2018-03-16,2018,Q1,3,March,16,Friday,False,11
2018-03-17,2018,Q1,3,March,17,Saturday,True,11
